vendor_id;article_no;SKU;name;product_type;additional_attributes;configurable_variations;categories;description_short;description_long;product_features;ean_or_gtin_code;manufacturer_no;brand;price;currency;vat_rate;qty;weight;length;width;height;base_image;additional_images
;605445;;Beachvolleyboll MIKASA SBV;BOLLAR;;;Beach volley;Beachvolleyboll MIKASA SBV;Beachvolleyboll för barn och ungdomar. Med EVA-material på ytan för att ge mjukhet och följsamhet. Denna boll väger 15 % mindre än en vanlig volleyboll och är något större i omkrets.Perfekt till barn i åldern 6-12 år.;;;;;269.78;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605445;
;605447;;BungyPump Walkathlon;FRIIDROTT;;;Functional training;Bungy Pump Walkathlon;Stavar med dubbel funktion. Med den flyttbara låsningen ändrar man snabbt och enkelt från fjädrande till stum stav på några sekunder. Justerbar 113 - 155 cm.;;;;;1,107.82;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605447;
;605462;;Linjeringsmaskin våtkrita;FOTBOLL;;;Football;Linjeringsmaskin våtkrita;Linjeringsmaskin för våtkrita i stark lackerad stålkonstruktion. Kapacitet på 15 liter i behållaren. Med stora däck på fälg med måtten 290 x 90 mm. Färgen sprutas på planen genom ett valssystem. Bredd på rullen 100 mm.;;;;;6,578.86;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605462;
;605464;;Förvaringskorg;ÖVRIGT;;;Storage;Korg med handtag, 20lit, Blå;Smart och praktisk förvaringskorg för olika sorters utrustning som exempelvis kläder, bollar, böcker med mera. Rymmer 20 liter.;;;;;131.2;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605464;
;605469;;Hoppstylta QU-AX Pogo;FÖRBRUKN;;;Play & Games;Jumping Stick;Klassisk kvalitetshoppstylta med två inkappslade fjädrar vilket gör den i det närmaste underhållsfri. Det är bara att packa upp den och studsa iväg! Kan det bli mycket roligare och enklare? Den robusta konstruktionen gör den också lämplig för lite "tuffare" trick. För användare som väger upp till 50 kg.;;;;;637.14;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605469;
;605471;;Muskelgel som kyler;FÖRBRUKN;;;Medical equipment;Muskelgel som kyler SELECT;Kylande muskelgel som bland annat används vid ryggsmärtor, muskulära smärtor, spänningstillstånd, överbelastningar, idrottsskador, lättare inflammationer och solsveda. 150 ml per tub.;;;;;101.68;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605471;
;605481;;Skumplastboll COG Basic 210 mm;BOLLAR;;;Other;Skumboll COG 210 mm utan överdrag;Svensktillverkad boll utan överdrag. I mjuk foam av absolut högsta kvalitet.  Mycket bra som inlärningsboll. Diameter 210 mm.;;;;;141.86;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605481;
;605482;;Målvaktshandske SELECT Allround 33;FOTBOLL;;;Football;Målvaktshandske SELECT Allround 33;Målvaktshandske från Select som finns i 2 storlekar.;;;;;332.92;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/605482;
;605483;;Jättetärning med plastfickor;FÖRBRUKN;;;Play & Games;Jättetärning  i skum med plastfickor;Stor tärning i skum med måtten 15 x 15 x 15 cm. Med plastfickor i vilka man exempelvis kan stoppa bilder.;;;;;192.7;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605483;
;605484;;Badmintonset YONEX School;BADMINTON;;;Badminton;Badmintonset YONEX School set;Skolset för en hel klass från Yonex som innehåller 20 rack, 36 bollar och 2 nät. Levereras tillsammans med en praktisk förvaringsväska.;;;;;2,810.96;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605484;
;605485;;Skridskostöd;ISHOCKEY;;;Icehockey;Skridskostöd;Skidskostödet är ett hjälpmedel när man lär sig att åka skridskor.Tillverkad i eloxerad aluminium och väger 1 kg. Kan justera höjd, 48-76 cm. Kan nedmonteras utan verktyg. Vikbar.;;;;;638.78;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605485;
;605486;;Badmintonrack YAMASAKI PRO;BADMINTON;;;Badminton;Badmintonracket YAMASAKI med inbyggt T-stycke;Badmintonrack med huvud i aluminium/titanium och skaft i kolfiber. Med inbyggt T-stycke.;;;;;218.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605486;
;605487;;Lagväst ALL IN SPORT 1-20 Junior;FÖRBRUKN;;;Other;Lagväst med siffror, Junior;Lagväst i polyester med resår i botten. Säljs i 20-pack med nummer 1-20. Finns i två olika färger. Juniorstorlek.;;;;;435.42;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605487;
;605488;;Lagväst ALL IN SPORT 1-20 Junior;FÖRBRUKN;;;Other;Lagväst med siffror, Junior;Lagväst i polyester med resår i botten. Säljs i 20-pack med nummer 1-20. Finns i två olika färger. Juniorstorlek.;;;;;435.42;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605488;
;605489;;Lagväst ALL IN SPORT 1-20 Senior;FÖRBRUKN;;;Other;Lagväst med siffor, Senior;Lagväst i polyester med resår i botten. Säljs i 20-pack med nummer 1-20. Finns i två olika färger. Seniorstorlek.;;;;;435.42;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605489;
;605490;;Lagväst ALL IN SPORT 1-20 Senior;FÖRBRUKN;;;Other;Lagväst med siffror, Senior;Lagväst i polyester med resår i botten. Säljs i 20-pack med nummer 1-20. Finns i två olika färger. Seniorstorlek.;;;;;435.42;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605490;
;605491;;Footbag ALL IN SPORT Teknikboll;FÖRBRUKN;;;Other;Teknikboll fotboll "Fotbag";Mjuk teknikboll, så kallad "Foot bag" som används för  teknikträning.;;;;;22.96;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605491;
;605492;;Gångburkar;FÖRBRUKN;;;Play & Games;Gångburkar;Gåmgburkar som säljs i par. Ljusgröna med 145 cm långa rep. Höjd: 12 cm. Diameter: 13 cm.;;;;;68.06;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/605492;
;605493;;Hopprep för utebruk 6000 mm;FÖRBRUKN;;;Other;Hopprep 6 m;Av slitstark plast. Perfekt på asfalt och grus. 6000 mm långt. Per styck.;;;;;57.4;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605493;
;605494;;Markeringskon 1-10;FÖRBRUKN;;;Play & Games;Koner med siffror 1-10;Markeringskoner i 10-pack med siffrorna 1-10. Röda. Höjd: 30 cm.;;;;;223.04;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605494;
;605495;;Golvmarkeringar Triangel 6-p;FÖRBRUKN;;;Play & Games;Triangel 6-p;Pedagogiska triangelformade golvmarkeringar i färgglada blandade färger.;;;;;97.58;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605495;
;605496;;Hjärtstartare;FÖRBRUKN;;;Medical equipment;Hjärtstartare;Idag överlever cirka 7 % vid ett hjärtstopp. Med en hjärtstartare eller defibrillator och rätt utbildning ökar hjärtstartaren överlevnadsgraden till över 70 %. Denna hjärtstartare är så enkel att använda att man med minimal utbildning kan hjälpa till att rädda livet på en vän, kollega eller annan medmänniska.;;;;;17,501.26;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605496;
;605497;;HLR-docka Little Anne;FÖRBRUKN;;;Medical equipment;HLR-docka Little Anne 1-p;Little Anne är utformad på ett anatomiskt korrekt sätt, vilket ger en realistisk och levande HLR-utbildning. Man kan koppla i hop med en app för att mäta kompression samt inblåsning.;;;;;2,776.52;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/605497;
;605498;;HLR-docka Little Anne;FÖRBRUKN;;;Medical equipment;HLR-docka Little Anne 4-p;Little Anne är utformad på ett anatomiskt korrekt sätt, vilket ger en realistisk och levande HLR-utbildning. Man kan koppla i hop med en app för att mäta kompression samt inblåsning.;;;;;10,095.84;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/605498;
;605499;;Lungor till Little Anne 24-p;FÖRBRUKN;;;Medical equipment;Lungor till Little Anne 24 st;Engångslunga med en-vägsventil som kan bytas efter varje dags användning för elevernas säkerhet. 24-pack.;;;;;839.68;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/605499;
;605501;;Oball 100;FÖRBRUKN;;;Play & Games;Oball;O-bollen är en härlig boll att leka med för alla åldersklasser. Redan småbarn och bebisar kan tack vare dess bikakestruktur utan problem gripa den och de kryper glatt efter den. Diamater 100 mm.;;;;;136.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605501;
;605503;;Volleyboll ALL IN SPORT Big;BOLLAR;;;Volleyball;Stor volleyboll;Lätt och extra stor volleyboll som lämpar sig väl vid inlärning. Omkrets 100-102 cm.;;;;;266.5;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605503;
;605505;;Golvmarkeringar Kvadrat 6-p;FÖRBRUKN;;;Play & Games;Fyrkanter 6-p;Pedagogiska kvadratiska golvmarkeringar i färgglada blandade färger.;;;;;159.9;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605505;
;605506;;Träningsband GYMSTICK Pro Roll;STYRKETRÄN;;;Functional training;Gymstick Pro Exercise band;Träningsband på rulle som tränar och stärker hela kroppen. Passar perfekt vid exempelvis uppvärmningsövningar och styrketräning. Finns med olika motstånd och säljs i rulle om 45,7 meter.;;;;;1,171.78;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605506;
;605507;;Träningsband GYMSTICK Pro Roll;STYRKETRÄN;;;Functional training;Gymstick Pro Exercise band;Träningsband på rulle som tränar och stärker hela kroppen. Passar perfekt vid exempelvis uppvärmningsövningar och styrketräning. Finns med olika motstånd och säljs i rulle om 45,7 meter.;;;;;1,111.10;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605507;
;605508;;Träningsband GYMSTICK Pro Roll;STYRKETRÄN;;;Functional training;Gymstick Pro Exercise band;Träningsband på rulle som tränar och stärker hela kroppen. Passar perfekt vid exempelvis uppvärmningsövningar och styrketräning. Finns med olika motstånd och säljs i rulle om 45,7 meter.;;;;;1,111.10;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605508;
;605511;;Gymnastikband ALL IN SPORT;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband 4 m;Träningsband, Monterat på glasfiberpinne. Ej F.I.G-godkänt. Finns i färgen orange i två olika längder.;;;;;43.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605511;
;605512;;Gymnastikband ALL IN SPORT;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband 6 m;Träningsband, Monterat på glasfiberpinne. Ej F.I.G-godkänt. Finns i färgen orange i två olika längder.;;;;;43.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605512;
;605516;;Fantyball;BOLLAR;;;Other;Fantyball;Mjuk och hållbar boll som är lätt att greppa och behaglig att beröra. Dess goda studs gör den lämplig för lekfulla och motoriska aktiviteter för de yngsta. Går även bra att använda utomhus. Diameter: 150 mm.;;;;;68.06;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605516;
;605520;;Multisport boll - plast;BOLLAR;;;Other;Plastboll;Plastboll som finns i två storlekar och levereras i blandade färger.;;;;;45.92;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605520;
;605521;;Multisport boll - plast;BOLLAR;;;Other;Plastboll;Plastboll som finns i två storlekar och levereras i blandade färger.;;;;;45.92;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605521;
;605523;;Gympingmatta Basic;MATTOR;;;School;Gymnastikmatta;Gympingmatta med måtten 1200 x 600 x 15 mm. Blå.;;;;;211.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605523;
;605543;;Lagväst ALL IN SPORT Basic Storpack;FÖRBRUKN;;;Other;Lagväst BASIC storpack;40-pack lagvästar med nätstruktur. 10 lagvästar i färgerna röd, blå, grön och gul. Finns i både senior- och juniorstorlek.;;;;;1,412.04;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/605543;
;605544;;Lagväst ALL IN SPORT Pro Storpack;FÖRBRUKN;;;Other;Lagväst Pro storpack;40-pack lagvästar i lite kraftigare meshnylon. 10 lagvästar i färgerna neongul, rosa, neonorange och neongrön. Finns i både senior- och juniorstorlek.;;;;;1,740.04;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/605544;
;605546;;Lagväst ALL IN SPORT Basic Storpack;FÖRBRUKN;;;Other;Lagväst BASIC storpack;40-pack lagvästar med nätstruktur. 10 lagvästar i färgerna röd, blå, grön och gul. Finns i både senior- och juniorstorlek.;;;;;1,310.36;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/605546;
;605547;;Linjeringsmaskin torrkrita;FOTBOLL;;;Football;Linjeringsmaskin torrkrita;Robust och pålitlig linjeringsmaskin med en stor (ca 50 l) behållare. Fungerar med alla linjeringskritor som finns på marknaden. Spridningsfunktionen slås av och på med hjälp av en spak. Justerbara handtag och inbyggd omrörare för att kritan inte ska klumpa sig. Ställbar linjeringsbredd mellan 50-120 mm. Med rejäla gummihjul.;;;;;5,812.98;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605547;
;605551;;Lagväst ALL IN SPORT Pro Storpack;FÖRBRUKN;;;Other;Lagväst PRO storpack;40-pack lagvästar i lite kraftigare meshnylon. 10 lagvästar i färgerna neongul, rosa, neonorange och neongrön. Finns i både senior- och juniorstorlek.;;;;;1,740.04;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/605551;
;605596;;Badmintonbollar YONEX AC 03 12-p;BADMINTON;;;Badminton;Fjäderboll YONEX 12-p;Fjäderbollar för klubb- och turneringsspel. 12-pack.;;;;;300.12;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605596;
;605609;;Grepplinda YONEX 3-p;FÖRBRUKN;;;Badminton;Linda till badmintonrack, 3-pack, vit;Grepplinda som säljs i 3-pack för tennis- och badmintonrack. Längd: 1200 mm.;;;;;117.26;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605609;
;605712;;Fotbollsmål UNISPORT Alu 1,5 x 1 m;FOTBOLL;;;Football;Fotbollsmål ALU 3-manna;Extremt kraftigt och robust helsvetsat mål i aluminium för 3 mot 3 fotboll. Nätdjup  600/600 mm. Målramen är tillverkad i oval aluminiumprofil som är 120 x 100 mm. Bottenramen i rektangulär aluminiumprofil med måtten 75 x 50 mm. Exkl. nät.;;;;;4,167.24;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605712;
;605713;;Fotbollsmål UNISPORT Alu 3 x 1,5 m;FOTBOLL;;;Football;Fotbollsmål ALU 5-manna Låg;Extremt kraftigt och robust helsvetsat mål i aluminium för 5 mot 5 fotboll där ribban är lägre än på ett traditionellt 5 mot 5 mål. Nätdjup 0,8/2 m. Målramen är tillverkad i oval aluminiumprofil som är 120 x 100 mm. Bottenramen i rektangulär aluminiumprofil med måtten 75 x 50 mm. Exkl. nät.;;;;;9,867.88;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605713;
;605715;;Fotbollsnät 1,5 x 1 m, 100 mm;FOTBOLL;;;Football;Fotbollsnät 1,5 x 1 m, 100 mm;Grönt målnät till fotbollsmål med måtten 1500 x 1000 mm och nätdjup 600/600 mm.;;;;;527.26;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605715;
;605828;;Viktskiva ALL IN SPORT Bumper Plate;STYRKETRÄN;;;Functional training;Bumper-plate ALL IN SPORT 5 kg;Extremt hållbar viktskiva för 50 mm:s stång som klarar hela 6000 nersläpp. Finns i flera olika vikter.;;;;;353.42;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605828;
;605829;;Viktskiva ALL IN SPORT Bumper Plate;STYRKETRÄN;;;Functional training;Bumper-plate ALL IN SPORT 10kg;Extremt hållbar viktskiva för 50 mm:s stång som klarar hela 6000 nersläpp. Finns i flera olika vikter.;;;;;435.42;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605829;
;605830;;Viktskiva ALL IN SPORT Bumper Plate;STYRKETRÄN;;;Functional training;Bumper-plate ALL IN SPORT 15kg;Extremt hållbar viktskiva för 50 mm:s stång som klarar hela 6000 nersläpp. Finns i flera olika vikter.;;;;;501.84;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605830;
;605831;;Viktskiva ALL IN SPORT Bumper Plate;STYRKETRÄN;;;Functional training;Bumper-plate ALL IN SPORT 20kg;Extremt hållbar viktskiva för 50 mm:s stång som klarar hela 6000 nersläpp. Finns i flera olika vikter.;;;;;607.62;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605831;
;605832;;Viktskiva ALL IN SPORT Bumper Plate;STYRKETRÄN;;;Functional training;Bumper-plate ALL IN SPORT 25Kg;Extremt hållbar viktskiva för 50 mm:s stång som klarar hela 6000 nersläpp. Finns i flera olika vikter.;;;;;707.66;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605832;
;605834;;Fotboll ALL IN SPORT Club 10-p;FOTBOLL;;;Football;Fotboll ALL IN SPORT Club 10-p;Bra prisvärd allvädersboll med slitstark yta. Lämplig för skolan och de lägre serierna. 10-pack.;;;;;1,077.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605834;
;605835;;Fotboll ALL IN SPORT Club 10-p;FOTBOLL;;;Football;Fotboll ALL IN SPORT Club 10-p;Bra prisvärd allvädersboll med slitstark yta. Lämplig för skolan och de lägre serierna. 10-pack.;;;;;1,390.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605835;
;605836;;Fotboll ALL IN SPORT Club 10-p;FOTBOLL;;;Football;Fotboll ALL IN SPORT Club 10-p;Bra prisvärd allvädersboll med slitstark yta. Lämplig för skolan och de lägre serierna. 10-pack.;;;;;1,717.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605836;
;605838;;Träningsband GYMSTICK Pro 2500;STYRKETRÄN;;;Functional training;Aerobicband Gymstick;Elastiskt motståndsband i latex som stärker och formar hela kroppen. Passar perfekt till uppvärmning samt olika fitness- och styrketräningsövningar. Angivet motstånd vid 300 % sträckning av bandet. Färdiga längder om 2,5 meter.;;;;;87.74;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605838;
;605839;;Träningsband GYMSTICK Pro 2500;STYRKETRÄN;;;Functional training;Aerobicband Gymstick;Elastiskt motståndsband i latex som stärker och formar hela kroppen. Passar perfekt till uppvärmning samt olika fitness- och styrketräningsövningar. Angivet motstånd vid 300 % sträckning av bandet. Färdiga längder om 2,5 meter.;;;;;87.74;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605839;
;605840;;Startmarkörset 1-8;FRIIDROTT;;;Running;Startmarkörset 1-8;Set om 8 stycken startmarkörer.;;;;;3,227.52;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605840;
;605841;;Diskus UNISPORT Training;FRIIDROTT;;;Throughing;Träningsdiskus av Trä 0,75kg;Träningsdiskus av trä. Finns i 7 vikter.;;;;;218.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605841;
;605842;;Diskus UNISPORT Training;FRIIDROTT;;;Throughing;Träningsdiskus av Trä 1,25kg;Träningsdiskus av trä. Finns i 7 vikter.;;;;;252.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605842;
;605843;;Diskus UNISPORT Competition;FRIIDROTT;;;Throughing;Träningsdiskus 1,25 kg;Tränings- och tävlingsdiskusar tillverkade av70% galvaniserad stålring med en extra stark plastplatta. Finns i 7 vikter.  514210, 514217 och 514220 är IAAF-certifierade.;;;;;252.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605843;
;605844;;Diskus VINEX Hi Spin IAAF;FRIIDROTT;;;Throughing;Diskus "Hi Spin" 1,25kg;Tävlingsdiskus med hi-spinn. 75% av vikten i ringen. IAAF-godkänd. Finns i 5 vikter.;;;;;323.9;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605844;
;605851;;Badmintonrack YONEX Grafit;BADMINTON;;;Badminton;Badmintonrack YONEX Grafit;Helgjutet badmintonrack i grafit.;;;;;332.92;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605851;
;605911;;Handbollsmål UNISPORT Fristående Internationellt;INREDNING;;;Handball;Handbollsmål Fristående Danmark;Godkänt tävlingsmål enligt EN749. Mycket stabilt och prisvärt. Fästes i golv med skruv. Inkl. golvbrickor. Infällbara bakstöd av lackerat stål. Invändigt mått BxH 3000x2000 mm. Nätdjup 800/1000 mm. Exkl. nät och droppnät som säljs separat. Finns med svart/vit alternativt röd/vit ribba och stolpar.;;;;;11,270.90;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605911;
;605912;;Flexpegs UNISPORT;VINTERIDR;;;Icehockey;Flexpegs UNISPORT Tävling;Tillverkade i polyuretan. Flexibla för att hålla målburen på plats vid träning och match. 4-pack.;;;;;1,662.14;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/605912;
;605916;;Basketboll CONTI B7000 Pro;BOLLAR;;;Basketball;Basketboll CONTI B7000 pro;Basketboll i konstläder av högsta kvalitet. Officiell storlek och vikt samt FIBA-godkänd i storlek 7. Kan användas både inom- och utomhus. Finns i två storlekar.;;;;;324.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605916;
;605917;;Basketboll CONTI B7000 Pro;BOLLAR;;;Basketball;Basketboll CONTI B7000 pro;Basketboll i konstläder av högsta kvalitet. Officiell storlek och vikt samt FIBA-godkänd i storlek 7. Kan användas både inom- och utomhus. Finns i två storlekar.;;;;;324.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605917;
;605953;;Minihandbollsmål RANTZOWS DK Fristående;HANDBOLL;;;Handball;Minihandbollsmål DK fristående;Minihandbollsmål med målram av lackerad furu. Med röd/vit stolpar och ribba. Fästs i golvet med vingskruv och kantregel. Inkl. golvbrickor. Infällbara bakstöd av lackerat stål. 2400 x 1600 mm. Nätdjup 300/600 mm. Exkl. nät som sälj separat.;;;;;7,451.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/605953;
;605972;;Gjuthylsa för Flexpegs ISTECH 4-p;VINTERIDR;;;Icehockey;Flexpeg ytterhylsa tilverkad i rostfritt;Hylsa för Flexpegs ISTECH som gjuts ner i betongplattan.;;;;;1,310.36;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605972;
;605974;;Fotboll ALL IN SPORT liga 10-p;FOTBOLL;;;Football;Fotboll ALL IN SPORT liga 10-p;10-pack fotbollar med hög formbeständighet och slitstyrka. Fungerar utmärkt på konstgräs. Lämplig som match- och träningsboll. PU-skal med högglansyta ger mycket känsla i bollkontakt. Finns i två storlekar.;;;;;2,173.82;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605974;
;605975;;Fotboll ALL IN SPORT liga 10-p;FOTBOLL;;;Football;Fotboll ALL IN SPORT liga 10-p;10-pack fotbollar med hög formbeständighet och slitstyrka. Fungerar utmärkt på konstgräs. Lämplig som match- och träningsboll. PU-skal med högglansyta ger mycket känsla i bollkontakt. Finns i två storlekar.;;;;;2,286.16;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/605975;
;606039;;Pop-Up-Mål ALL IN SPORT Target 2-p;FOTBOLL;;;Football;Pop-Up mål TARGET;Traditionellt Pop Up mål i mesh och polyester. När det vänds blir det ett perfekt precisionsträningsredskap med tre hål för prickskytte. Försett med markförankringsspik i stål. Levereras med förvaringsväska.;;;;;629.76;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/606039;
;606090;;Spelarbås Match;FOTBOLL;;;Football;Spelarbås Match 2-radigt 4 m.;Kraftigt, stabilt 2-radigt spelarbås med aluminiumram och träbänkar. 4000 x 2000 x 1700 mm. Sidor och tak är av 2 mm PETG plast. En extremt slagtålig plast med varaktig transparens till skillnad från exempelvis PC. Kvalitetsmässigt det bästa! Golvet är gjort av plywood. Hjulsats ingår. Levereras monterat.;;;;;52,400.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606090;
;606124;;Släpnät m draglina & bom;TENNIS;;;Tennis;Släpnät dubbel med draglina & bom;Komplett med draglina och bom som nätet är fäst vid. Nätet är tillverkat av plastöverdragen polyestertråd som är vattentålig. B 2000 mm. L 1500 mm. Finns med enkelt och dubbelt nät.;;;;;2,422.28;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606124;
;606139;;Resultattavla Digital Pro;RES.ANLÄGG;;;Scoreboards;Resultattavla Digital, med 6 sidoresultat;Digital resultattavla med 6 sidoresultat (0-9). B x H 3000 x 1000 mm. Siffror 330 mm. Visar mål (0-99) och matchtid. Transformator för 230 V medföljer. Lysdioder som syns på mycket långt avstånd och i solljus. Levereras med fjärrkontroll för sladdlös styrning, räckvidd på ca 100 m. Elkabel för drift genom 12 V finns att köpa till (se art 601827.;;;;;29,339.60;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606139;
;606143;;Multi-Training Door Gym;STYRKETRÄN;;;Functional training;Multi-Training Door Gym;Marknadens mest mångsidiga chin-up-stång. Stången monteras i en vanlig dörröppning på endast några sekunder. Används för att utföra armhävningar, chin-ups, triceps-dips och sit-ups. Kan även användas för övningar på golvet. Tillverkad i slitstarkt stål med ett mjukt skumgrepp.;;;;;259.12;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606143;
;606144;;Speedmintonrack School;BADMINTON;;;Speedminton;Speedminton School extra racket;Enklare Speedmintonrack.;;;;;242.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606144;
;606148;;Mobil spegelvägg;INREDNING;;;Other;Flyttbar spegelvägg;En praktisk mobil spegelvägg på hjul som enkelt flyttas för olika aktiviteter. Tillverkad i klarlackad björkplywood och spegelglas. Mått: 3000x1500 mm.;;;;;12,761.66;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606148;
;606155;;Innebandyset SIMRA 80 cm;INNEBANDY;;;Floorball;Innebandyset SIMRA 10-p, skaftlängd 80 cm.;Innebandyset med 10 plastklubbor och 3 bollar som fungerar alldeles utmärkt för skolbruk. Blandade färger. Längd 80 cm.;;;;;778.18;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/606155;
;606158;;Passare för hockeypuckar;ISHOCKEY;;;Icehockey;Passare för hockeypuckar;Hjälpmedel vid teknikträning för hockeyspelare. Passa pucken till passaren och få tillbaka den.;;;;;519.88;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606158;
;606160;;Papperskorg Basic;TENNIS;;;Tennis;Papperskorg;Traditionell papperskorg med lock i UV-stabil och väderbeständig plast för montering på stolpe. Rymmer 50 l. Levereras med alla detaljer för montage på stolpe.;;;;;1,714.62;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606160;
;606161;;Papperskorg Tennisboll;TENNIS;;;Tennis;Papperskorg "tennisboll";Papperskorg i form av en tennisboll i UV-stabil och väderbeständig plast. För montering på stolpe. Med lock. Inkl Gångjärn och fästen i rostfritt stål.;;;;;2,377.18;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606161;
;606162;;Sittbänk i plast;TENNIS;;;Tennis;Bänk i plast. 150 cm vit.;Vit bänk i plast. Finns i två längder.;;;;;2,093.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/606162;
