vendor_id;article_no;SKU;name;product_type;additional_attributes;configurable_variations;categories;description_short;description_long;product_features;ean_or_gtin_code;manufacturer_no;brand;price;currency;vat_rate;qty;weight;length;width;height;base_image;additional_images
;300533;;Fällbar scen RANTZOWS Plan;INREDNING;;;Other;Fällbarscen RANTZOWS Plan;Samma utförande och mått som modell Ribban men utan ribbstolar. Istället har scenen en slät framsida av klarlackerad björkplywood. Lämplig till samlingssalar såsom matsalar, konferensrum m fl. Säljs i paket om 1-4 moduler.;;;;;25,470.02;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300533;
;300536;;Fällbar scen RANTZOWS Plan;INREDNING;;;Other;Fällbarscen RANTZOWS Plan;Samma utförande och mått som modell Ribban men utan ribbstolar. Istället har scenen en slät framsida av klarlackerad björkplywood. Lämplig till samlingssalar såsom matsalar, konferensrum m fl. Säljs i paket om 1-4 moduler.;;;;;39,923.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300536;
;300537;;Fällbar scen RANTZOWS Plan;INREDNING;;;Other;Fällbarscen RANTZOWS Plan;Samma utförande och mått som modell Ribban men utan ribbstolar. Istället har scenen en slät framsida av klarlackerad björkplywood. Lämplig till samlingssalar såsom matsalar, konferensrum m fl. Säljs i paket om 1-4 moduler.;;;;;64,380.66;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300537;
;300600;;Balettstång UNISPORT;INREDNING;;;Other;Balettstång RANTZOWS per lpm;Elipsformad balettstång i trä, klarlackerad. Beställs per löpmeter, maxlängd 3 m/stång.;;;;;707.66;SEK;25%;M;;;;;https://webshop.unisport.com/se_sv/image/300600;
;300601;;Väggkonsol för balettstång;INREDNING;;;Other;Väggkonsol för balettstång;I stål.;;;;;555.14;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300601;
;300602;;Fristående ben till balettstång;INREDNING;;;Other;Fristående ben till balettstång;I lackerat stål. Justerbar höjd mellan 745-1095 mm.;;;;;2,018.02;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300602;
;300704;;Dambarr SPIETH Bern;GYMNASTIK;;;AG/RG/Trampoline;Dambarr "Bern Exclusive" SPIETH;Godkänd av F.l.G. För tävling 90-160 cm mellan holmarna. Runda, träklädda, brottssäkra glasfiberholmar. Dubbla spännanordningar.;;;;;63,151.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300704;
;300705;;Satsbräda SPIETH Moscow 5;GYMNASTIK;;;TeamGym;Satsbräda SPIETH "Moscow 5";Satsbräda som är godkänd av F.I.G. En ny satsbräda som är utrustad med det revolutionerande Whisper Spring System, vilket möjliggör en välbalanserad återstuds överallt på avstampsytan. Med mjuka fjädrar. Höjd:22 cm. Bredd:60 cm. Längd:120 cm. Vikt:23 kg.;;;;;14,740.32;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300705;
;300706;;Satsbräda SPIETH Moscow 8;GYMNASTIK;;;TeamGym;Satsbräda SPIETH "Moscow 8";Satsbräda som är godkänd av F.I.G. En ny satsbräda som är utrustad med det revolutionerande Whisper Spring System, vilket möjliggör en välbalanserad återstuds överallt på avstampsytan. Med hårda fjädrar. Höjd:22 cm. Bredd:60 cm. Längd:120 cm. Vikt:23 kg.;;;;;14,452.50;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300706;
;300711;;Övningssvamp SPIETH;GYMNASTIK;;;AG/RG/Trampoline;Övningssvamp utan bygel SPIETH;För träning. Diameter: 600 mm. Höjd: 450 mm. Greppsäker yta på kroppen. Finns både med och utan bygel.;;;;;8,945.38;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300711;
;300713;;Övningssvamp SPIETH;GYMNASTIK;;;AG/RG/Trampoline;Övningssvamp med bygel SPIETH;För träning. Diameter: 600 mm. Höjd: 450 mm. Greppsäker yta på kroppen. Finns både med och utan bygel.;;;;;11,849.82;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300713;
;300714;;Bygelhäst  SPIETH;GYMNASTIK;;;AG/RG/Trampoline;Bygelhäst SPIETH;Godkänd av F.l G. Kroppen klädd med oxläder. Byglar av plast. Justerbar höjd från 1100-1500 mm. Försedd med transporthjul. Kedja för fastspänning.;;;;;49,390.24;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300714;
;300715;;Ringställning  SPIETH Berlin;GYMNASTIK;;;AG/RG/Trampoline;Ringställning "Berlin" SPIETH;Godkänd av F.I.G. Stabil, säker ställning av fyrkantsstål. Fjädrande upphängning med inbyggda stötdämpare. Dubbla spännlinor. Ringarna justerbara i höjd mellan 250-285 cm.;;;;;61,786.18;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300715;
;300721;;Tävlingsbom SPIETH Barcelona;GYMNASTIK;;;AG/RG/Trampoline;Tävlingsbom SPIETH "Soft Touch";Godkänd av F.I.G. Designad för både träning och tävling. L 5000 mm. Polyeterstoppning klädd med konstläder som absorberar fukt. Stötdämpande sviktelement mellan bom och klädsel, vilket minskar skaderisken. Justerbar i höjd mellan 700-1250 mm.;;;;;37,671.62;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300721;
;300722;;Lågbom SPIETH Soft touch;GYMNASTIK;;;TeamGym;Träningsbom SPIETH "Soft";För träning. Bommen klädd med konstläder. Försedd med lågfötter i stål. Längd. 5000 mm. Höjd 300 mm.;;;;;18,954.30;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300722;
;300870;;Trapets;INREDNING;;;Other;Trapets;Denna trapets spänner du fast på de romerska ringarna och får ett nytt användbart redskap.;;;;;3,150.44;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300870;
;301210;;Gymnastikbänk UNISPORT 2000;GYMNASTIK;;;School;Gymnastikbänk 2m. Monterad;Svensktillverkad gymnastikbänk med stavlimmad furuskiva. Fot av furu. Längd: 2000 mm. Bredd: 300 (nedre) / 250 (övre) mm. Höjd: 320 mm. 90 mm bred balansribba. Golvskydd.;;;;;2,273.86;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/301210;
;301211;;Gymnastikbänk UNISPORT 3000;GYMNASTIK;;;School;Gymnastikbänk 3m. Monterad;Svensktillverkad gymnastikbänk med stavlimmad furuskiva. Fot av furu. Längd: 3000 mm. Bredd: 300 (nedre) / 250 (övre) mm. Höjd: 320 mm. 90 mm bred balansribba. Golvskydd. Utrustad med nylonhakar för upphängning på tex ribbstol. Finns både som monterat och omonterat alternativ.;;;;;3,120.10;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/301211;
;301212;;Gymnastikbänk UNISPORT 3000;GYMNASTIK;;;School;Gymnastikbänk 3 m. Omonterad;Svensktillverkad gymnastikbänk med stavlimmad furuskiva. Fot av furu. Längd: 3000 mm. Bredd: 300 (nedre) / 250 (övre) mm. Höjd: 320 mm. 90 mm bred balansribba. Golvskydd. Utrustad med nylonhakar för upphängning på tex ribbstol. Finns både som monterat och omonterat alternativ.;;;;;2,624.82;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/301212;
;301250;;Bänkkonsol RANTZOWS utfällbar;INREDNING;;;Other;Bänkkonsol RANTZOWS utfällbar;Att montera på ribbstolar för förvaring av gymnastikbänkar. Underlättar vid städning. Då bänkarna hänger på konsolen kan den användas som sittbänk i lagom höjd. Inkl. skruvar. Säljs styckvis.;;;;;583.02;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/301250;
;301610;;Magnesiablock 8-p;FÖRBRUKN;;;Other;Magnesiablock 8 block/förp;8 bitar/fp, sammanlagt 440 g.;;;;;227.96;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/301610;
;301825;;Hoppbord Practice;GYMNASTIK;;;TeamGym;Hoppbord Practice;Ett bra alternativ vid inlärning av trampetthopp med hoppbord. Stabil konstruktion med behagligt mjukt toppskikt. Försedd med kardborrband för sammankoppling med andra mjukprodukter. 800 x 1200 mm. H 1000 mm. Vikt ca 35 kg.;;;;;9,448.04;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/301825;
;302005;;Kombiplint UNISPORT Oxläder 6-delad;GYMNASTIK;;;School;Kombiplint oxläder 6 delar;Svensktillverkad förstklassig kombiplint i 6 delar. Dynan är stoppad och klädd med oxläder. Plinten har urtag för exempelvis gymnastikbänk både i gaveln och i långsidan. Finns i 2 alternativ. Längd: 1100 mm alternativt 1300 mm. Bredd: 700/450 mm. Höjd: 1020 mm.;;;;;11,114.28;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302005;
;302006;;Kombiplint UNISPORT Oxläder 6-delad;GYMNASTIK;;;School;Kombiplint Oxläder 6 delar;Svensktillverkad förstklassig kombiplint i 6 delar. Dynan är stoppad och klädd med oxläder. Plinten har urtag för exempelvis gymnastikbänk både i gaveln och i långsidan. Finns i 2 alternativ. Längd: 1100 mm alternativt 1300 mm. Bredd: 700/450 mm. Höjd: 1020 mm.;;;;;11,470.98;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302006;
;302007;;Kombiplint UNISPORT Oxläder 7-delad;GYMNASTIK;;;School;Kombiplint oxläder 7 delar;Svensktillverkad förstklassig kombiplint i 7 delar. Dynan är stoppad och klädd med oxläder. Plinten har urtag för exempelvis gymnastikbänk både i gaveln och i långsidan. Längd: 1300 mm Bredd: 750 / 450 mm. Höjd: 1180 mm.;;;;;12,079.42;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302007;
;302035;;Pallplint Oxläder UNISPORT;GYMNASTIK;;;School;Pallplint Oxläder;Svensktillverkad pallplint av furu, stoppad och klädd med oxläder. Mått. 600 x 400 x 270 mm.;;;;;2,219.74;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302035;
;302050;;Plintpåbyggnad i mjuk PVC;GYMNASTIK;;;School;Plintpåbyggnad i mjuk PVC;Polysterkudde klädd med PVC-väv. Försedd med fästrem for montering på plintlock. Längd: 1350 mm. Höjd: 200 mm.;;;;;2,476.40;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302050;
;302100;;Hoppbock RANTZOWS;GYMNASTIK;;;TeamGym;Lågbock;Svensktillverkad träbock med stoppad och klädd dyna. Finns i 3 olika storlekar med reglerbara höjder enligt följande: Lågbock: 900-1300 mm. Mellanbock: 1100-1500 mm. Högbock: 1200-1700 mm.;;;;;11,720.26;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302100;
;302101;;Hoppbock RANTZOWS;GYMNASTIK;;;AG/RG/Trampoline;Mellanbock;Svensktillverkad träbock med stoppad och klädd dyna. Finns i 3 olika storlekar med reglerbara höjder enligt följande: Lågbock: 900-1300 mm. Mellanbock: 1100-1500 mm. Högbock: 1200-1700 mm.;;;;;12,832.18;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302101;
;302102;;Hoppbock RANTZOWS;GYMNASTIK;;;School;Högbock RANTZOWS;Svensktillverkad träbock med stoppad och klädd dyna. Finns i 3 olika storlekar med reglerbara höjder enligt följande: Lågbock: 900-1300 mm. Mellanbock: 1100-1500 mm. Högbock: 1200-1700 mm.;;;;;14,145.00;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302102;
;302203;;Satsbräda Träfjädring;MATTOR;;;School;Satsbräda 150;Satsbräda som finns i två alternativ med olika höjd. Junior = grundskolan (max användarvikt: 60 kg). Senior = högstadiet - med dubbelfjädring (max användarvikt: 75 kg).;;;;;3,836.78;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302203;
;302250;;Avståndsram för satsbräda;GYMNASTIK;;;School;Avståndsram för satsbräda;Tillverkad av trä. Förstärkt med hörnjärn. Passar till satsbrädorna 302200 och 302201.;;;;;2,494.44;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302250;
;302300;;Trampett RANTZOWS ELIT;GYMNASTIK;;;School;Trampett RANTZOWS ELIT;Ett bra alternativ för alla utom högsta nivå. Kraftig stålkonstruktion, duken upphängd i 32 st stålfjädrar. Hopfällbar. Med transporthjul. Ramstorlek 1100x1100 mm. Inkl. ramskydd som även säljs separat (se art 302305). Finns i 2 alternativ med mjuka (hel duk) alternativt hårda (flätad duk) fjädrar.;;;;;10,359.88;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302300;
;302302;;Trampett RANTZOWS ELIT;GYMNASTIK;;;School;Trampett RANTZOWS ELIT;Ett bra alternativ för alla utom högsta nivå. Kraftig stålkonstruktion, duken upphängd i 32 st stålfjädrar. Hopfällbar. Med transporthjul. Ramstorlek 1100x1100 mm. Inkl. ramskydd som även säljs separat (se art 302305). Finns i 2 alternativ med mjuka (hel duk) alternativt hårda (flätad duk) fjädrar.;;;;;10,750.20;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302302;
