Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad L,,XL,,,33500404-with-inner-pad-l-xl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406597.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad L,,XXL,,,33500404-with-inner-pad-l-xxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406597.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad L,,XXXL,,,33500404-with-inner-pad-l-xxxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406597.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad G,,M,,,33500404-with-inner-pad-g-m,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406598.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad G,,L,,,33500404-with-inner-pad-g-l,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406598.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad G,,XL,,,33500404-with-inner-pad-g-xl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406598.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad G,,XXL,,,33500404-with-inner-pad-g-xxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406598.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad G,,XXXL,,,33500404-with-inner-pad-g-xxxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406598.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad L,,M,,,33500404-with-inner-pad-l-m,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406597.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad L,,L,,,33500404-with-inner-pad-l-l,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406597.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,R no pad,,XXL,,,33500404-r-no-pad-xxl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1761316933.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,R no pad,,XXXL,,,33500404-r-no-pad-xxxl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1761316933.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,R no pad,,M,,,33500404-r-no-pad-m,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1761316933.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,R no pad,,L,,,33500404-r-no-pad-l,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1761316933.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,R no pad,,XL,,,33500404-r-no-pad-xl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1761316933.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad O,,XXXL,,,33500404-with-inner-pad-o-xxxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284562.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad O,,XXL,,,33500404-with-inner-pad-o-xxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284562.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad O,,M,,,33500404-with-inner-pad-o-m,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284562.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,BL138H inner pad,,XXXL,,,33500404-bl138h-inner-pad-xxxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284559.jpg?v=1632999694,kg,,,
